received_at,session,participant,event_time,rel_ms,view,event,props,user_agent
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,254403202,view-home,idle,"{""view"":""view-home"",""ms"":8069}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,254412434,view-home,idle,"{""view"":""view-home"",""ms"":9227}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256435898,view-home,idle,"{""view"":""view-home"",""ms"":8163}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264911562,view-home,idle,"{""view"":""view-home"",""ms"":8051}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264919749,view-home,idle,"{""view"":""view-home"",""ms"":8184}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,254424607,view-home,idle,"{""view"":""view-home"",""ms"":9524}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256444081,view-home,idle,"{""view"":""view-home"",""ms"":8180}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256452152,view-home,idle,"{""view"":""view-home"",""ms"":8070}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264927921,view-home,idle,"{""view"":""view-home"",""ms"":8168}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,254432708,view-home,idle,"{""view"":""view-home"",""ms"":8090}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256460246,view-home,idle,"{""view"":""view-home"",""ms"":8094}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264936020,view-home,idle,"{""view"":""view-home"",""ms"":8089}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264944072,view-home,idle,"{""view"":""view-home"",""ms"":8049}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,254440762,view-home,idle,"{""view"":""view-home"",""ms"":8052}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,254448833,view-home,idle,"{""view"":""view-home"",""ms"":8068}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256468304,view-home,idle,"{""view"":""view-home"",""ms"":8056}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256476379,view-home,idle,"{""view"":""view-home"",""ms"":8074}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264952150,view-home,idle,"{""view"":""view-home"",""ms"":8071}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms94cu2pzv6uf,P2,8/3/2026,258995396,view-condition,idle,"{""view"":""view-condition"",""ms"":59965}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,254456931,view-home,idle,"{""view"":""view-home"",""ms"":8094}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms94cu2pzv6uf,P2,8/3/2026,259055410,view-condition,idle,"{""view"":""view-condition"",""ms"":59963}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
8/3/2026,sms94cu2pzv6uf,P2,8/3/2026,259115404,view-condition,idle,"{""view"":""view-condition"",""ms"":59981}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
8/3/2026,sms95x56001ncg,P6,8/3/2026,256484474,view-home,idle,"{""view"":""view-home"",""ms"":8094}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264960252,view-home,idle,"{""view"":""view-home"",""ms"":8091}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264968346,view-home,idle,"{""view"":""view-home"",""ms"":8092}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,254465033,view-home,idle,"{""view"":""view-home"",""ms"":8099}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,254473148,view-home,idle,"{""view"":""view-home"",""ms"":8108}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256492605,view-home,idle,"{""view"":""view-home"",""ms"":8130}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256500761,view-home,idle,"{""view"":""view-home"",""ms"":8155}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264976467,view-home,idle,"{""view"":""view-home"",""ms"":8114}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,254481340,view-home,idle,"{""view"":""view-home"",""ms"":8188}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256508927,view-home,idle,"{""view"":""view-home"",""ms"":8164}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264984654,view-home,idle,"{""view"":""view-home"",""ms"":8183}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms90vgft3ah87,P1,8/3/2026,264992746,view-home,idle,"{""view"":""view-home"",""ms"":8089}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
