# ----------------------------------------
# B&H GA4 - Prod
# Free form-Sell Used Traffic
# 20260101-20260608
# ----------------------------------------

Segment,Sell Used Traffic,Sell Used Traffic,Sell Used Traffic,Totals
Device category,desktop,tablet,mobile,Totals
Date,Active users,Active users,Active users,Active users
,44308,1660,1720,47260,Grand total
20260316,3175,83,63,3317
20260302,3169,53,81,3299
20260310,3131,47,87,3252
20260513,3149,47,63,3252
20260317,3109,75,67,3246
20260305,3107,67,73,3242
20260224,3107,71,65,3232
20260309,3137,30,69,3240
20260330,3121,55,57,3224
20260226,3090,61,67,3204
20260210,3062,77,57,3188
20260303,3060,61,73,3190
20260324,3080,47,61,3194
20260331,3062,67,43,3173
20260311,3038,45,83,3159
20260413,3044,57,63,3173
20260218,3034,49,69,3159
20260211,3019,67,63,3147
20260217,3038,39,71,3143
20260202,2989,71,61,3115
20260304,3001,55,65,3115
20260415,2975,67,75,3113
20260420,2967,65,79,3102
20260416,3005,49,55,3107
20260223,2995,57,51,3102
20260225,2979,61,63,3098
20260427,2997,55,47,3094
20260421,2967,57,63,3086
20260212,2936,73,71,3070
20260414,2948,61,69,3072
20260325,2977,45,49,3076
20260319,2959,45,55,3058
20260312,2918,55,67,3040
20260318,2912,57,53,3017
20260216,2853,77,87,3013
20260326,2922,45,47,3013
20260120,2910,36,51,2991
20260219,2833,65,85,2967
20260323,2882,41,59,2993
20260205,2859,61,55,2987
20260126,2859,47,57,2957
20260204,2847,55,51,2944
20260514,2859,55,39,2948
20260203,2831,65,51,2934
20260129,2843,51,41,2926
20260115,2851,47,36,2934
20260423,2803,53,67,2914
20260209,2817,51,45,2906
20260112,2809,49,53,2902
20260422,2796,53,59,2906
20260428,2762,69,73,2900
20260429,2778,51,61,2888
20260128,2790,47,39,2884
20260504,2764,53,55,2873
20260127,2752,49,41,2841
20260512,2748,49,36,2839
20260119,2709,69,53,2817
20260313,2730,47,51,2839
20260511,2738,49,39,2823
20260105,2711,59,51,2813
20260122,2709,51,53,2807
20260430,2683,61,67,2807
20260114,2734,45,30,2809
20260518,2705,61,34,2801
20260506,2669,59,63,2790
20260113,2675,55,47,2774
20260121,2657,61,59,2770
20260227,2663,59,51,2766
20260107,2657,53,57,2756
20260306,2638,63,59,2754
20260106,2628,49,53,2728
20260417,2624,51,51,2717
20260505,2624,51,51,2724
20260327,2647,34,43,2736
20260410,2596,45,79,2719
20260213,2570,71,75,2707
20260401,2594,53,59,2693
20260108,2586,51,67,2689
20260220,2576,59,59,2691
20260507,2572,65,45,2675
20260519,2582,45,45,2671
20260520,2580,43,39,2659
20260527,2547,41,61,2647
20260601,2537,53,45,2628
20260526,2533,49,51,2638
20260407,2519,51,59,2624
20260206,2499,59,43,2596
20260116,2486,57,41,2576
20260528,2511,30,41,2588
20260406,2482,49,45,2578
20260409,2501,39,36,2576
20260424,2442,53,69,2557
20260320,2456,36,47,2535
20260602,2442,43,53,2527
20260521,2422,57,47,2525
20260130,2385,63,43,2484
20260603,2405,30,47,2480
20260123,2395,51,28,2472
20260515,2365,47,45,2458
20260508,2318,57,61,2434
20260408,2338,49,45,2430
20260604,2355,26,30,2413
20260402,2312,49,41,2403
20260109,2253,53,43,2341
20260529,2201,39,39,2280
20260301,2152,45,63,2264
20260501,2142,43,73,2255
20260102,2132,63,53,2241
20260315,2067,71,61,2197
20260111,2075,51,65,2182
20260222,2085,47,57,2187
20260125,2059,71,53,2176
20260419,2051,67,57,2168
20260605,2079,28,39,2140
20260118,2035,57,51,2134
20260215,1988,73,79,2132
20260308,2010,53,57,2116
20260329,1998,53,63,2112
20260104,2000,61,51,2101
20260426,1966,57,67,2087
20260525,1998,47,45,2093
20260201,1972,65,51,2085
20260522,1966,57,39,2057
20260403,1949,45,47,2041
20260307,1862,49,57,1962
20260412,1836,65,61,1953
20260208,1830,73,51,1951
20260228,1828,55,59,1937
20260503,1787,55,61,1905
20260117,1787,57,43,1874
20260322,1789,47,49,1881
20260207,1771,51,47,1866
20260314,1765,55,41,1856
20260221,1765,36,51,1844
20260131,1718,55,51,1818
20260524,1712,61,47,1820
20260110,1686,53,63,1793
20260328,1670,53,45,1769
20260103,1656,57,51,1753
20260214,1643,83,30,1755
20260321,1652,49,55,1753
20260517,1664,49,39,1747
20260124,1668,47,32,1743
20260101,1615,57,49,1716
20260510,1605,71,45,1727
20260411,1617,53,47,1710
20260531,1617,32,41,1690
20260404,1583,36,43,1660
20260607,1538,51,34,1621
20260418,1560,26,32,1621
20260425,1512,55,34,1599
20260405,1502,57,39,1595
20260516,1520,34,32,1585
20260502,1485,49,49,1583
20260523,1441,59,39,1540
20260530,1469,34,36,1544
20260509,1449,41,39,1528
20260606,1331,39,26,1390
20260608,344,12,10,365

